Epoch,train_Accuracy,val_Accuracy,train_loss,val_loss
1,86.72,96.921,0.3292,0.0806
2,97.273,97.948,0.0767,0.0464
3,97.996,98.29,0.0585,0.0398
4,98.288,99.544,0.0487,0.0166
5,98.757,99.316,0.0355,0.022
6,99.099,98.86,0.0251,0.0372
7,99.214,99.43,0.0259,0.0194
8,99.315,99.544,0.0201,0.0126
9,99.201,99.886,0.0243,0.0059
10,99.391,99.886,0.0214,0.0095
11,99.442,99.886,0.018,0.0071
12,99.467,99.658,0.0157,0.0149
13,99.531,99.886,0.0142,0.0094
14,99.48,99.544,0.0131,0.0117
15,99.556,99.772,0.0155,0.0093
16,99.353,99.772,0.014,0.0047
17,99.493,99.886,0.0142,0.0045
18,99.518,100.0,0.0148,0.0031
19,99.67,99.544,0.0096,0.0176
20,99.632,99.886,0.0097,0.0042
